Date,Symbols,Close,High,Low,Open,Volume
2023-12-29,BABA,77.51,77.635,76.82,77.06,14094635
2023-12-29,ETSY,81.05,82.6494,80.72,81.57,2397080
2023-12-29,SWK,98.1,99.1,97.8,98.66,769662
2023-12-29,APPN,37.66,38.9772,37.55,38.66,288333
2023-12-29,W,61.7,65.26,61.37,64.65,2637987
2023-12-29,SNAP,16.93,17.21,16.83,17.03,16693464
2023-12-28,BABA,77.24,77.79,76.98,77.23,18937893
2023-12-28,ETSY,81.92,82.48,80.5601,81.75,2121780
2023-12-28,SWK,99.1,99.34,98.0,98.37,519014
2023-12-28,APPN,38.87,39.57,38.61,38.76,241287
2023-12-28,W,64.12,64.8,63.14,64.45,1822082
2023-12-28,SNAP,17.05,17.2,16.82,16.92,13845160
2023-12-27,BABA,76.11,76.45,75.41,76.28,14904479
2023-12-27,ETSY,82.39,83.31,80.9702,82.59,2324533
2023-12-27,SWK,98.73,99.125,98.21,99.01,555079
2023-12-27,APPN,39.0,40.0,38.64,39.79,292723
2023-12-27,W,64.41,66.96,64.1925,65.41,1850313
2023-12-27,SNAP,16.95,16.99,16.68,16.73,15975366
2023-12-26,BABA,75.85,76.9687,75.73,76.16,13121280
2023-12-26,ETSY,82.59,85.22,82.44,85.0,2356261
2023-12-26,SWK,98.81,99.28,97.741,98.15,843508
2023-12-26,APPN,39.67,39.81,39.2692,39.54,192073
2023-12-26,W,64.82,67.5276,64.81,67.24,2192037
2023-12-26,SNAP,16.78,17.1,16.68,17.06,13944254
2023-12-22,BABA,75.28,75.68,74.44,74.5,20004348
2023-12-22,ETSY,84.95,86.285,84.78,84.98,1908612
2023-12-22,SWK,98.16,98.98,97.0,97.31,984265
2023-12-22,APPN,39.66,40.53,39.22,40.18,308235
2023-12-22,W,67.11,69.6603,65.84,68.18,2800501
2023-12-22,SNAP,17.05,17.32,16.89,17.2,21576677
2023-12-21,BABA,76.26,76.29,74.35,74.86,20812090
2023-12-21,ETSY,85.24,86.26,83.87,85.18,2663548
2023-12-21,SWK,96.92,97.94,95.95,97.61,1338098
2023-12-21,APPN,40.03,40.15,37.8041,38.4,736363
2023-12-21,W,68.17,68.38,65.62,66.8,3429265
2023-12-21,SNAP,17.23,17.29,16.7,16.94,34281572
2023-12-20,BABA,73.35,75.295,73.33,74.58,27540228
2023-12-20,ETSY,83.59,87.2,83.38,87.0,4466844
2023-12-20,SWK,96.15,98.77,95.94,97.16,1262754
2023-12-20,APPN,37.95,39.895,37.895,38.94,491124
2023-12-20,W,64.7,68.22,64.67,65.85,3282845
2023-12-20,SNAP,16.6,17.3,16.59,16.98,28279678
2023-12-19,BABA,75.39,76.01,74.22,74.4,20939297
2023-12-19,ETSY,87.03,89.58,84.91,85.09,6162457
2023-12-19,SWK,97.1,98.45,96.62,98.09,1126558
2023-12-19,APPN,39.08,40.4,38.905,39.15,508277
2023-12-19,W,66.72,67.04,63.81,63.98,4752744
2023-12-19,SNAP,17.18,17.255,16.17,16.54,52580594
2023-12-18,BABA,73.84,74.23,73.21,74.05,17233510
2023-12-18,ETSY,84.46,85.59,80.84,80.84,7656663
2023-12-18,SWK,97.28,98.44,97.09,98.44,1013841
2023-12-18,APPN,38.64,38.81,37.64,38.3,506645
2023-12-18,W,62.94,65.6,62.63,64.22,3352569
2023-12-18,SNAP,17.02,17.9,16.8,17.44,49763573
2023-12-15,BABA,74.51,75.545,73.32,74.0,31327519
2023-12-15,ETSY,80.68,85.6,80.09,84.38,10176647
2023-12-15,SWK,98.63,101.82,97.78,101.44,2939645
